flight_id,record_id,ALT [ft],Q_1 [lb/h],Q_2 [lb/h],TLA_1 [deg],TLA_2 [deg],NAIV_1 [bool],NAIV_2 [bool],M [Mach],Duree_min,Consommation_totale_kg,AntiIce_ON
Aircraft_01.h5,record_00,857,779.5518107844014,833.592567027902,3.1759726567931628,3.0405021298186,0.0,0.0,0.197199252,14.283333333333333,174.18748406107974,0
Aircraft_01.h5,record_01,716,396.0357889488045,401.6509147225699,-0.23929023221622905,-0.3162702575528492,0.0,0.0,0.1889826165,11.933333333333334,71.96283445023933,0
Aircraft_01.h5,record_02,1502,815.1297790194408,853.6479781313502,1.4506533161610256,1.4825358913969644,0.0,0.0,0.197199252,25.033333333333335,315.8139580869876,0
Aircraft_01.h5,record_03,1291,819.9066752896422,861.5926362285917,1.4709841125508443,1.435335640656251,0.0,0.0,0.197199252,21.516666666666666,273.5179429727335,0
Aircraft_01.h5,record_04,1336,777.9310088644551,806.7853045462335,1.2176477300859732,1.2578801203101797,0.0,0.0,0.197199252,22.266666666666666,266.76010048764675,0
Aircraft_01.h5,record_05,996,801.7301813244497,847.2025619944176,1.61503487840743,1.5748422290888557,0.0,0.0,0.197199252,16.6,206.93081391773939,0
Aircraft_01.h5,record_10,1588,683.530728479073,754.2889704398992,1.1218329616037281,1.0773907132484006,1.0,1.152732554,0.1725493455,26.466666666666665,287.68539401133955,1
Aircraft_01.h5,record_100,1443,648.4789293639806,708.7596802425779,1.1893620826997784,1.1813244960671656,0.0,0.0,0.1889826165,24.05,246.76605730963706,0
Aircraft_01.h5,record_1000,618,437.4001101827961,460.9827298362071,-0.5111250416590939,-0.49410128926284796,0.0,0.0,0.180765981,10.3,69.95404120749946,0
Aircraft_01.h5,record_1001,895,801.5882479590077,892.7081855153519,3.191818081432559,3.2011391860350167,0.0,0.0,0.1889826165,14.916666666666666,191.0624390355525,0
Aircraft_01.h5,record_101,1336,659.4850654982336,707.854437760473,1.4849385830090271,1.4288092384237576,0.0,0.0,0.197199252,22.266666666666666,230.16840314149908,0
Aircraft_01.h5,record_102,1415,768.1105834738713,814.4959216899844,1.6987504081010742,1.6480393630297103,0.0,0.0,0.197199252,23.583333333333332,282.15793738743093,0
Aircraft_01.h5,record_103,650,486.6906540852923,502.54042641362463,-0.22426408379947693,-0.23244604186830775,0.0,0.0,0.180765981,10.833333333333334,81.0165966035228,0
Aircraft_01.h5,record_104,1762,719.206178189462,767.6440280466697,1.2098186371009876,1.1700610371579911,0.0,0.0,0.197199252,29.366666666666667,330.0927661423108,0
Aircraft_01.h5,record_105,1281,782.6318666046213,841.2759898790008,1.4018943040142546,1.382239509073755,0.0,0.0,0.1889826165,21.35,262.10384875923074,0
Aircraft_01.h5,record_106,2127,819.5879972982153,863.9585330904334,1.6233241041979973,1.601992028613719,0.0,0.0,0.197199252,35.45,451.1858796739517,0
Aircraft_01.h5,record_107,1302,864.8548462076866,898.5554159437971,1.2003307536854995,1.2318158310608296,0.0,0.0,0.1889826165,21.7,289.28587819278334,0
Aircraft_01.h5,record_108,1391,771.6023432518189,836.3915252342372,1.2978048530492021,1.3149307726524802,0.0,0.0,0.197199252,23.183333333333334,281.82168286636363,0
Aircraft_01.h5,record_109,1581,718.2017013165238,774.2784973108361,1.1299439697948515,1.163626605691474,0.0,0.0,0.1889826165,26.35,297.3057668673307,0
Aircraft_01.h5,record_11,2100,657.7842775773181,709.4920253574172,1.2967669293456192,1.2671382078607618,0.0,0.0,0.197199252,35.0,361.7749291337839,0
Aircraft_01.h5,record_110,828,1014.4001117048116,1086.2817074721256,3.0625981085964735,2.9424495768525607,1.0,1.152732554,0.2054158875,13.8,219.15606757654422,1
Aircraft_01.h5,record_111,831,912.1937717218291,938.5007373279808,2.200891999518821,2.014947864899134,0.0,0.0,0.1889826165,13.85,193.77540164870933,0
Aircraft_01.h5,record_112,1416,654.9818455973673,702.4909456292994,1.3764139320702402,1.3708579038683053,1.0,1.152732554,0.197199252,23.6,242.19059400511392,1
Aircraft_01.h5,record_113,1651,632.1571843819697,666.4486926279395,1.1872422164069778,1.1756274937096427,1.0,1.152732554,0.197199252,27.516666666666666,270.13902173019017,1
Aircraft_01.h5,record_114,916,900.5822347035634,978.8674118395285,2.322946408879738,2.3049719210281445,0.0,0.0,0.197199252,15.266666666666667,216.91473468124812,0
Aircraft_01.h5,record_115,816,403.37669268709806,421.36448139437255,-0.09208263581752453,-0.09093249032774513,0.0,0.0,0.1889826165,13.6,84.79509302369814,0
Aircraft_01.h5,record_116,1691,699.3776612398344,744.089870720227,2.3563657426383324,2.2822413257232053,1.0,1.152732554,0.197199252,28.183333333333334,307.54842893438786,1
Aircraft_01.h5,record_117,1414,692.2216575346648,766.1597840157849,1.3533683470215419,1.3335792651071854,0.0,0.0,0.197199252,23.566666666666666,259.8264885938203,0
Aircraft_01.h5,record_118,1275,774.3677203599749,837.2701892240251,1.9247380905859923,1.8941856825928003,0.0,0.0,0.180765981,21.25,258.9050638672591,0
Aircraft_01.h5,record_119,1016,711.6412950069684,772.1578823323857,1.8585854697417719,1.842733654096693,0.0,0.0,0.1889826165,16.933333333333334,189.94668539746547,0
Aircraft_01.h5,record_12,1899,631.6804415414681,676.3454986935566,1.0558800831629491,1.0399858096030228,0.0,0.0,0.1889826165,31.65,312.97107895432754,0
Aircraft_01.h5,record_120,1856,767.4953093069267,808.3446086118836,1.1931565978542567,1.276847676210485,0.0,0.0,0.197199252,30.933333333333334,368.5131203806265,0
Aircraft_01.h5,record_121,1494,670.3500602458473,722.0425962973012,1.2100682465756896,1.2110997221877242,0.0,0.0,0.1889826165,24.9,262.1049404946887,0
Aircraft_01.h5,record_122,1465,751.0685708182061,803.8612603882702,1.8092100551729968,1.8337832457682322,0.0,0.0,0.197199252,24.416666666666668,287.019435381953,0
Aircraft_01.h5,record_123,1173,709.4359489699096,778.2957267345881,1.500989870487775,1.445209975000631,0.0,0.0,0.1889826165,19.55,219.8798881852054,0
Aircraft_01.h5,record_124,859,840.9317488840419,916.9270923742585,2.9851474992160654,2.936494356431409,0.0,0.0,0.1889826165,14.316666666666666,190.25673826754056,0
